Date,Entry,anger,disgust,fear,joy,sadness,surprise,neutral,Negative,Neutral,Positive
"01-04-2024: ""The day started like any other. Woke up"," had my usual coffee, and went about my routine. Work was neither too stressful nor too exciting—just another regular day. Even the evening felt routine, with dinner, a little TV, and scrolling through social media before heading to bed.""",0.009311165560320064,0.034882860619194295,0.010996056630252883,0.21202174823371484,0.5398610241268326,0.12579321935464663,0.06713392547503877,0.047932947322351566,0.5481886894340926,0.4038783632435558
"02-04-2024: ""Met an old friend unexpectedly at a cafe. We hadn’t talked in years"," but it felt like no time had passed. We laughed about old times, shared updates about life, and left with a warmth that carried me through the rest of the day. It reminded me how little moments like these can be so uplifting.""",0.008667421388719685,0.017444140157238632,0.03924667775121413,0.5172527923361013,0.13201856260153802,0.2217890641268588,0.06358134163832938,0.13812053167306132,0.2107753446604084,0.6511041236665303
"03-04-2024: ""Received a random package at my doorstep. Turns out"," it was a book I had pre-ordered months ago and completely forgotten about. That small but pleasant surprise brought a smile to my face. I spent the evening flipping through its pages, already hooked by the first few chapters.""",0.007138463681821644,0.05015954438937122,0.013953760098269383,0.34216255137478785,0.3311875502849387,0.044727881483537235,0.21067024868727396,0.0936473018589911,0.24471266565971148,0.6616400324812974
"04-04-2024: ""Saw an old picture today"," and it brought back memories of someone I don’t talk to anymore. It made me wonder how things could have been different. I carried that heaviness with me all day, replaying past conversations in my mind and feeling that bittersweet nostalgia settle in my chest.""",0.003863401708174766,0.007238176987914151,0.008295334218424046,0.030301793292029474,0.019637514497776735,0.5782027664301732,0.3524610128655077,0.3435737392387332,0.5273456643287989,0.12908059643246786
"05-04-2024: ""Had an amazing workout today—one of those days where everything just clicks. I felt strong"," energized, and proud of myself for pushing through. There's something so satisfying about feeling progress, both physically and mentally. Ended the night with a good meal, feeling accomplished and happy.""",0.0025784074561093955,0.0020675064904592698,0.0005757776948255576,0.9782400204763881,0.009120617345678846,0.0030893367494891954,0.004328333787049558,0.0018134576214106483,0.02402888986565147,0.9741576525129378
"06-04-2024: ""Woke up from a nightmare"," the kind that lingers even after you realize it wasn’t real. My heart was still pounding, and it took a while to shake the uneasy feeling. Even the shadows in my room felt eerie. I distracted myself with a podcast until I calmed down enough to fall asleep again.""",0.06466559792140107,0.0947443268566758,0.5142731052997846,0.003245922900531675,0.2324646231703777,0.042484754336638814,0.0481216695145903,0.36802337412494784,0.5373906249083374,0.09458600096671468
"07-04-2024: ""Saw someone littering at the park. It irked me more than it should have. Just the casual disregard for the environment left a bad taste in my mouth. I picked up the trash myself"," but it made me wonder—how hard is it to just do the right thing? It’s frustrating seeing such carelessness.""",0.21465711466281714,0.3629206493936825,0.07769154279712417,0.003863336280938057,0.07187123154895261,0.0666885856525538,0.20230753966393172,0.873384770703849,0.11489220629753556,0.011723022998615381
"08-04-2024: ""Nothing eventful today. Just a regular cycle of work"," eat, and sleep. It’s weird how some days just blur into the next without anything particularly exciting or upsetting happening. Maybe tomorrow will bring something different, but for now, today just existed in the background of my life.""",0.023765430156066886,0.19933089620539704,0.03355108490620153,0.008548760492039564,0.6317976033036616,0.029935624117004286,0.07307060081962904,0.2639432438410483,0.5396528171482325,0.19640393901071915
"09-04-2024: ""Someone cut me off in traffic and had the audacity to honk at me. That irrational burst of anger stayed with me longer than I’d like to admit. I replayed the moment in my head"," thinking of all the witty comebacks I could have said. It’s funny how small things can feel so big in the moment.""",0.014642341161292953,0.014305044062167005,0.0065856664886195975,0.12310541504296871,0.23363409721650855,0.009086468551193268,0.5986409674772499,0.018814775986320253,0.3253066080331667,0.655878615980513
"10-04-2024: ""Tried a new dish today"," and it was fantastic! There’s something about good food that instantly lifts the mood. I savored every bite, already thinking about when I could have it again. Cooking or ordering food isn’t just about eating; it’s about the experience of discovering something new.""",0.01051198758796512,0.0884708533322287,0.013461083204013298,0.5562485618765428,0.3070481850910358,0.006639458962591557,0.01761986994562271,0.004724501338332464,0.13951431364314548,0.855761185018522
"11-04-2024: ""Got a message from a distant cousin out of nowhere. We haven’t spoken in years"," and it was nice catching up. Life has taken us in such different directions, yet we still found common ground. It’s strange how time passes, but some connections never really fade completely.""",0.005227892175026434,0.015557469770717739,0.017763683268205117,0.33024392889537,0.3399547298160807,0.006147597839565905,0.2851046982350341,0.049820326803932426,0.3154395580973097,0.6347401150987578
"12-04-2024: ""Felt a little lonely today. Not sure why. Maybe it’s just one of those days where everything feels a little heavier. I tried distracting myself with work and entertainment"," but the feeling lingered in the background. Some days are just like that, and I guess that’s okay.""",0.02854575368806107,0.07666381729110457,0.0991579340522565,0.012204539815770974,0.44395342309409724,0.33107103848593344,0.008403493572776225,0.11487984348952683,0.6310640906788265,0.2540560658316467
"13-04-2024: ""Got through work"," finished some errands, and wrapped up the day with a movie. Nothing particularly special, but not bad either. These kinds of days may not be memorable, but they make up most of life. And in a way, that’s comforting—just moving forward, one day at a time.""",0.007410268148961567,0.22650794469879365,0.0055970872373678196,0.27985073174769176,0.4302342260526128,0.028824456382698666,0.021575285731873763,0.03594316898731748,0.2693257512526937,0.6947310797599888
"14-04-2024: ""A random dog ran up to me while I was out for a walk. Tail wagging"," full of energy. That brief interaction brightened my whole day. Animals have this pure joy about them that’s so infectious. It made me wish I had a dog of my own.""",0.017909916825828587,0.02854973395807978,0.10525994817568793,0.48712832068892514,0.23008830458249027,0.06560168579758564,0.06546208997140265,0.04085841778025105,0.20259556142261856,0.7565460207971304
"15-04-2024: ""Had to walk through a poorly lit street at night. My heart raced a little faster than usual"," even though nothing happened. Funny how the mind creates scenarios. The sound of footsteps behind me didn’t help, even though it was probably just another person walking home like me.""",0.2196115965181723,0.0967522383122793,0.20139286983098795,0.09461427466233954,0.1582218599776168,0.04936416113351675,0.18004299956508735,0.39555842977981553,0.510645466493341,0.09379610372684348
"16-04-2024: ""Had some street food that didn’t sit well with me. Regretted my choices almost instantly. My stomach was upset all night"," and I kept scolding myself for not being more careful. Lesson learned—maybe I should stick to safer options next time.""",0.3209523069140071,0.05131330928681317,0.056857359184493465,0.006060007515084314,0.43000204055578617,0.12863034549017022,0.006184631053645534,0.4724338555813735,0.45017571623272723,0.0773904281858993
"17-04-2024: ""Meetings"," emails, and the usual work chaos. Nothing too dramatic, just the usual grind. Some days are just meant to be productive rather than exciting, and that’s okay. Checked a lot off my to-do list, so at least there’s some satisfaction in that.""",0.033787180078297466,0.01943429379369883,0.011766704506082774,0.1208931504858586,0.6004586909388308,0.09559203714654815,0.11806794305068341,0.2016472650017512,0.39740089201970485,0.40095184297854397
"18-04-2024: ""Got into a small argument with a coworker. It wasn’t a big deal"," but I hate when misunderstandings escalate unnecessarily. Spent the rest of the day replaying the conversation in my head, wishing I had handled it better. I guess I’ll have to clear things up tomorrow.""",0.30349116423765576,0.04245790556382339,0.008524129439023484,0.006306841748463562,0.39116965710707713,0.24100435722198052,0.007045944681976162,0.5004056617002071,0.4408185768265179,0.05877576147327497
"19-04-2024: ""Listened to an old song that brought back such good memories. Amazing how music can instantly transport you back to another time. I closed my eyes and let it take me back to simpler days"," a nice escape from the present for a little while.""",0.0011619584561687775,0.0019753903887579295,0.0010087118855477313,0.9431123863075932,0.03757426566837394,0.009128613522878894,0.006038673770679569,0.01632640657528623,0.21337781329841993,0.7702957801262938
"20-04-2024: ""Found some extra cash in my jacket pocket. Completely unexpected but definitely welcomed! It’s not a lot"," but it’s funny how something so small can make a difference in my mood. A lucky little discovery.""",0.010462814000090552,0.007582691851440757,0.016414414926195026,0.13429144903691992,0.30085892909720524,0.007513521828480643,0.5228761792596679,0.012355188160602952,0.20840901522378738,0.7792357966156097
"21-04-2024: ""Missed someone deeply today. Certain places and memories just bring it all back. I tried to stay busy"," but the feeling stayed with me. Some people leave, but the memories never do. Maybe that’s both the blessing and the curse of having loved and lost.""",0.047882064555290406,0.13054536747428702,0.008844510234148116,0.31350631307280485,0.22813577272068386,0.26407562015188474,0.007010351790901047,0.18614669534420092,0.6029432464355319,0.2109100582202672
"22-04-2024: ""Work was steady"," and the day passed by without much excitement. I did a little reading in the evening, which helped me unwind. Not every day has to be an adventure—sometimes just having a calm, uneventful day is a good thing too.""",0.012433943816633097,0.008766529090291075,0.013418343337893735,0.2688102480239703,0.3507249441528798,0.3151941224978699,0.030651869080462087,0.04752285197646428,0.3032452037791442,0.6492319442443915
"23-04-2024: ""Caught up with an old hobby today—painting. It’s been years since I picked up a brush"," and at first, I felt rusty. But as the colors blended on the canvas, I lost track of time. There’s something freeing about creating without worrying about perfection. I think I’ll try to do this more often.""",0.01966482319119825,0.046370567655228075,0.13309416512428326,0.21700670372866876,0.35939192075461196,0.16320524752385207,0.06126657202215759,0.21405049365854176,0.3890103964334781,0.3969391099079801
"24-04-2024: ""Had a close call with a reckless driver today. One second"," everything was normal, and the next, a car swerved dangerously close to mine. My heart pounded long after the moment passed. It’s scary how things can change in an instant. A reminder to always stay alert and appreciate the calm moments.""",0.09628458584646378,0.006791193326298732,0.49583462790360444,0.01431305120889168,0.2245733032652468,0.12871532573100616,0.03348791271848841,0.24960866584692065,0.3644664206781947,0.38592491347488467
"25-04-2024: ""Unexpectedly got a day off! Instead of wasting it"," I decided to make it count. Spent the morning at a cozy cafe, just sipping coffee and watching people go about their day. Then, I took a spontaneous walk in the park. No plans, no deadlines—just a day to breathe. It felt refreshing.""",0.018068167158868345,0.011001307638159711,0.005632058601506824,0.5786528789082375,0.36189209504334663,0.012294796633262824,0.012458696016618248,0.01387910249127502,0.3830283732859315,0.6030925242227935
